step,avg_reward_raw,avg_reward_norm,avg_ee_sum,avg_sum_se,avg_total_power,avg_tau0_selected,avg_r1,avg_r2,avg_K,avg_M,avg_sinr_mean_tx,avg_sinr_db_mean_tx,sinr_db_p10,sinr_db_p50,sinr_db_p90,sinr_db_min,sinr_db_max,avg_log2_mean_tx,avg_se_per_tx_user,avg_interference_mean
8000,3.5781376465409993,0.17890688232704996,3.5781376465409993,6.233758670866489,2.609431266784668,0.4748497009277344,0.49296392685174945,0.5061485157608986,6.0,0.0,10583.11039637804,24.382197602881607,-13.98410701751709,15.237815856933594,30.72513771057129,-53.722267150878906,72.00394439697266,3.8796664739847184,2.0353242008686068,5.862542260733475e-10
16000,4.4541809010356666,0.2227090450517833,4.4541809010356666,7.0705872453451155,2.2897372245788574,0.406105637550354,0.4547569097876549,0.5556292542219162,6.0,0.0,10202.715441611766,23.973126561414496,-14.173039436340332,15.248425483703613,30.856769561767578,-82.1523208618164,67.49797058105469,3.879518076181412,2.305407710860173,4.783372444571833e-10
24000,4.217961795181036,0.2108980897590518,4.217961795181036,6.855366380810738,2.3515613079071045,0.4192391037940979,0.4703184910416603,0.5285187006890774,6.0,0.0,10728.091286161423,24.393357459697803,-13.925244331359863,15.069499015808105,30.828969955444336,-83.02619171142578,69.11764526367188,3.8616686438322065,2.241036518226067,6.715853100786936e-10
32000,5.7619689340442415,0.28809844670221213,5.7619689340442415,8.120113326966763,1.8734946250915527,0.3164363503456116,0.4777126812338829,0.527348050236702,6.0,0.0,3914.889339263439,23.597865261179784,-14.13846492767334,15.386518478393555,30.466718673706055,-85.43156433105469,69.6447982788086,3.8519178681373596,2.6354211283822853,5.847043793623561e-10
40000,5.904685950100422,0.2952342975050211,5.904685950100422,8.192334565639495,1.8301818370819092,0.30713164806365967,0.47683240526914594,0.5229382049739361,6.0,0.0,9992.083118780374,23.737572160793096,-13.987457275390625,15.174185752868652,30.874061584472656,-98.38822937011719,68.41828155517578,3.8559868059158324,2.6680724846720696,6.502429923714098e-10
48000,7.00316746622324,0.350158373311162,7.00316746622324,9.034166246056557,1.5625540018081665,0.24932008981704712,0.5035541277825832,0.5090583087801933,6.0,0.0,11004.37661452198,24.65376095567044,-14.243363380432129,15.25587272644043,30.808780670166016,-79.3933334350586,75.56507873535156,3.89950665640831,2.9303529293139774,5.813108196488546e-10
56000,7.195381057560444,0.3597690528780222,7.195381057560444,9.079772077083588,1.5076518058776855,0.23840056359767914,0.4378937714099884,0.48347606655955316,6.0,0.0,6441.296064167022,24.137264989607996,-14.239463806152344,15.237236976623535,30.67327880859375,-94.24638366699219,67.93064880371094,3.8774477138519288,2.953546202381452,5.571315573323344e-10
64000,7.306487933248281,0.36532439666241406,7.306487933248281,9.125968867778779,1.4843347072601318,0.23289689421653748,0.5171790114641189,0.5454302504956722,6.0,0.0,5964.904847429276,24.146921645813105,-14.445688247680664,15.28926944732666,30.220970153808594,-83.23435974121094,70.20793914794922,3.8679586760997773,2.966007842342059,5.685123728495742e-10
72000,6.346669885277748,0.3173334942638874,6.346669885277748,8.359241674959659,1.7477525472640991,0.2899641692638397,0.5441691323816776,0.49773100459575653,6.0,0.0,6628.238974060297,24.01984854784098,-14.413959503173828,15.157962799072266,30.7662410736084,-91.71670532226562,72.39421081542969,3.8259571697711943,2.717962934772174,5.391697954456102e-10
80000,6.823939431339502,0.3411969715669751,6.823939431339502,8.767873510599136,1.6365008354187012,0.2654367983341217,0.45168158611655235,0.48588886362314226,6.0,0.0,4796.7783930239675,23.810555141424047,-14.66757869720459,15.300392150878906,30.58865737915039,-91.35751342773438,72.63520812988281,3.8926951196193693,2.858551544775566,7.027365958110103e-10
88000,5.418242780044675,0.27091213900223376,5.418242780044675,7.6721692664027215,2.06390380859375,0.35770338773727417,0.4162375178337097,0.5704041095972061,6.0,0.0,11370.731109264374,24.11526808464572,-14.580952644348145,15.272726058959961,31.013629913330078,-95.87551879882812,74.49577331542969,3.8565283650159836,2.4812510976195337,5.558142495584753e-10
96000,6.806984633177519,0.340349231658876,6.806984633177519,8.63371636837721,1.6665719747543335,0.27211475372314453,0.504644738048315,0.4408560262918472,6.0,0.0,5614.622126831055,23.79585479850115,-14.695792198181152,15.12590217590332,30.315372467041016,-119.58010864257812,70.35047149658203,3.8590576162338257,2.8055942287345728,5.338582219235828e-10
104000,8.36717012050748,0.4183585060253739,8.36717012050748,9.4127706553936,1.3699408769607544,0.20860275626182556,0.46770370689034463,0.5272521904706955,6.0,0.0,11369.83332683742,23.65204391889569,-14.315704345703125,15.02755355834961,30.962295532226562,-111.32719421386719,76.8729476928711,3.848487757444382,3.040305175125599,6.104257423479744e-10
112000,9.728927032351494,0.4864463516175747,9.728927032351494,10.157197878837586,1.1187082529067993,0.15548177063465118,0.35690788394212725,0.39943168467283247,6.0,0.0,5003.858924873829,23.484293157254506,-15.467666625976562,15.118656158447266,30.5457820892334,-101.0926513671875,70.08209228515625,3.889886086344719,3.2853420575062438,5.925749749783519e-10
120000,8.360165148764848,0.41800825743824244,8.360165148764848,9.512573158860206,1.3280153274536133,0.19987767934799194,0.5298315394818783,0.5583068144619465,6.0,0.0,6876.193637717963,23.94873242681034,-14.961736679077148,15.072484016418457,30.581735610961914,-107.93577575683594,68.4963150024414,3.8536074281930923,3.0823279555042586,5.946158141346996e-10
